State_Pair,State1,State2,Total_Passengers
District of Columbia-Pennsylvania,District of Columbia,Pennsylvania,62720
Maine-Pennsylvania,Maine,Pennsylvania,62530
Georgia-Iowa,Georgia,Iowa,62430
Arkansas-North Carolina,Arkansas,North Carolina,62270
Arizona-Kansas,Arizona,Kansas,61820
Alaska-Colorado,Alaska,Colorado,61740
District of Columbia-Rhode Island,District of Columbia,Rhode Island,61610
California-Kansas,California,Kansas,61510
Alabama-New York,Alabama,New York,61450
Connecticut-Virginia,Connecticut,Virginia,61400
Tennessee-Utah,Tennessee,Utah,60880
Minnesota-Nebraska,Minnesota,Nebraska,60720
Montana-Oregon,Montana,Oregon,60610
New York-Oklahoma,New York,Oklahoma,60570
Indiana-Maryland,Indiana,Maryland,59680
Alabama-District of Columbia,Alabama,District of Columbia,59240
Oregon-Virginia,Oregon,Virginia,58970
District of Columbia-Maine,District of Columbia,Maine,58700
Louisiana-Ohio,Louisiana,Ohio,58660
Alaska-Nevada,Alaska,Nevada,58580
Indiana-Virginia,Indiana,Virginia,58530
Missouri-Nebraska,Missouri,Nebraska,58290
South Carolina-Tennessee,South Carolina,Tennessee,58190
Alaska-Minnesota,Alaska,Minnesota,57930
New Mexico-Washington,New Mexico,Washington,57200
Colorado-South Carolina,Colorado,South Carolina,57160
Montana-Texas,Montana,Texas,56580
Missouri-South Carolina,Missouri,South Carolina,56070
North Dakota-Texas,North Dakota,Texas,55970
Alaska-Illinois,Alaska,Illinois,55450
Georgia-Rhode Island,Georgia,Rhode Island,55220
Maine-Maryland,Maine,Maryland,55040
New Jersey-Wisconsin,New Jersey,Wisconsin,54850
Kentucky-Utah,Kentucky,Utah,54210
Georgia-New Mexico,Georgia,New Mexico,53670
Pennsylvania-Rhode Island,Pennsylvania,Rhode Island,53270
Colorado-Wyoming,Colorado,Wyoming,52780
District of Columbia-New Jersey,District of Columbia,New Jersey,52650
Kentucky-Louisiana,Kentucky,Louisiana,52640
Oklahoma-Washington,Oklahoma,Washington,52570
Ohio-Oregon,Ohio,Oregon,52500
Kentucky-South Carolina,Kentucky,South Carolina,52130
Arkansas-New York,Arkansas,New York,51890
Indiana-Washington,Indiana,Washington,51570
Indiana-Missouri,Indiana,Missouri,51400
District of Columbia-Nebraska,District of Columbia,Nebraska,51130
Florida-Kansas,Florida,Kansas,50990
Oregon-Tennessee,Oregon,Tennessee,50800
Kentucky-Washington,Kentucky,Washington,50470
Connecticut-Minnesota,Connecticut,Minnesota,49650
Utah-Virginia,Utah,Virginia,49600
Louisiana-Minnesota,Louisiana,Minnesota,48420
Connecticut-Nevada,Connecticut,Nevada,48190
Maryland-New Mexico,Maryland,New Mexico,47800
California-South Dakota,California,South Dakota,47520
Ohio-Wisconsin,Ohio,Wisconsin,47330
Alaska-Florida,Alaska,Florida,46730
Georgia-Kansas,Georgia,Kansas,46530
New Jersey-Utah,New Jersey,Utah,46140
Iowa-Minnesota,Iowa,Minnesota,45720
Maine-North Carolina,Maine,North Carolina,45650
Alabama-Colorado,Alabama,Colorado,45620
Ohio-Utah,Ohio,Utah,45600
South Carolina-Washington,South Carolina,Washington,45600
Kentucky-Virginia,Kentucky,Virginia,45470
Nebraska-Washington,Nebraska,Washington,45320
California-Wyoming,California,Wyoming,45310
Alabama-Pennsylvania,Alabama,Pennsylvania,44440
South Dakota-Texas,South Dakota,Texas,44160
Kentucky-Missouri,Kentucky,Missouri,43840
Illinois-South Dakota,Illinois,South Dakota,43840
Georgia-Maine,Georgia,Maine,43660
California-North Dakota,California,North Dakota,43660
Arizona-South Carolina,Arizona,South Carolina,43640
Rhode Island-Texas,Rhode Island,Texas,43320
