"State_Pair","State1","State2","Country1","Country2","Total_Passengers","Number_of_Routes"
"Jalisco-Quintana Roo","Jalisco","Quintana Roo","Mexico","Mexico",649131,2
"New York-Quintana Roo","New York","Quintana Roo","United States","Mexico",631104,6
"Nuevo León-Texas","Nuevo León","Texas","Mexico","United States",627498,13
"Coahuila-Mexico City","Coahuila","Mexico City","Mexico","Mexico",581481,10
"Quebec-Quintana Roo","Quebec","Quintana Roo","Canada","Mexico",499413,13
"Illinois-Mexico City","Illinois","Mexico City","United States","Mexico",493147,2
"Campeche-Mexico City","Campeche","Mexico City","Mexico","Mexico",462433,4
"Colorado-Quintana Roo","Colorado","Quintana Roo","United States","Mexico",454749,3
"Georgia-Mexico City","Georgia","Mexico City","United States","Mexico",440341,3
"New Jersey-Quintana Roo","New Jersey","Quintana Roo","United States","Mexico",406611,4
"North Carolina-Quintana Roo","North Carolina","Quintana Roo","United States","Mexico",394412,8
"Illinois-Jalisco","Illinois","Jalisco","United States","Mexico",393933,9
"Guanajuato-Mexico City","Guanajuato","Mexico City","Mexico","Mexico",386447,4
"Mexico City-Nevada","Mexico City","Nevada","Mexico","United States",384030,3
"Chihuahua-Nuevo León","Chihuahua","Nuevo León","Mexico","Mexico",379219,8
"Pennsylvania-Quintana Roo","Pennsylvania","Quintana Roo","United States","Mexico",350429,5
"Baja California-Guanajuato","Baja California","Guanajuato","Mexico","Mexico",322818,3
"Alberta-Quintana Roo","Alberta","Quintana Roo","Canada","Mexico",322761,10
"Aguascalientes-Mexico City","Aguascalientes","Mexico City","Mexico","Mexico",317514,4
"Jalisco-Sonora","Jalisco","Sonora","Mexico","Mexico",315631,7
"Minnesota-Quintana Roo","Minnesota","Quintana Roo","United States","Mexico",314933,4
"Baja California Sur-Mexico City","Baja California Sur","Mexico City","Mexico","Mexico",309065,4
"Chihuahua-Jalisco","Chihuahua","Jalisco","Mexico","Mexico",299423,13
"Baja California-Michoacán","Baja California","Michoacán","Mexico","Mexico",276823,4
"Guanajuato-Texas","Guanajuato","Texas","Mexico","United States",274990,13
"Mexico City-San Luis Potosí","Mexico City","San Luis Potosí","Mexico","Mexico",264747,4
