"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Oklahoma-Virginia","Oklahoma","Virginia","United States","United States",36830
"Connecticut-Ohio","Connecticut","Ohio","United States","United States",36580
"Missouri-New Mexico","Missouri","New Mexico","United States","United States",36430
"California-Mississippi","California","Mississippi","United States","United States",36150
"Illinois-Vermont","Illinois","Vermont","United States","United States",35800
"Utah-Wyoming","Utah","Wyoming","United States","United States",35550
"Oklahoma-Utah","Oklahoma","Utah","United States","United States",35230
"Rhode Island-Virginia","Rhode Island","Virginia","United States","United States",35160
"Illinois-Montana","Illinois","Montana","United States","United States",35060
"Alabama-Virginia","Alabama","Virginia","United States","United States",35050
"Illinois-Maine","Illinois","Maine","United States","United States",35000
"Louisiana-Utah","Louisiana","Utah","United States","United States",34820
"Arkansas-Missouri","Arkansas","Missouri","United States","United States",34610
"Michigan-Nebraska","Michigan","Nebraska","United States","United States",34590
"New Mexico-Utah","New Mexico","Utah","United States","United States",34590
"Florida-Mississippi","Florida","Mississippi","United States","United States",34570
"Arizona-Arkansas","Arizona","Arkansas","United States","United States",34440
"New Hampshire-North Carolina","New Hampshire","North Carolina","United States","United States",34320
"Michigan-Rhode Island","Michigan","Rhode Island","United States","United States",34280
"California-New Hampshire","California","New Hampshire","United States","United States",33930
"Oklahoma-Tennessee","Oklahoma","Tennessee","United States","United States",33890
"Florida-Idaho","Florida","Idaho","United States","United States",33590
"Alabama-Arizona","Alabama","Arizona","United States","United States",33530
"District of Columbia-Oklahoma","District of Columbia","Oklahoma","United States","United States",33370
"Minnesota-Oklahoma","Minnesota","Oklahoma","United States","United States",33210
"Maine-Texas","Maine","Texas","United States","United States",33130
"District of Columbia-Iowa","District of Columbia","Iowa","United States","United States",33010
"Ohio-Oklahoma","Ohio","Oklahoma","United States","United States",32920
"Connecticut-Tennessee","Connecticut","Tennessee","United States","United States",32540
"North Carolina-West Virginia","North Carolina","West Virginia","United States","United States",32410
"Indiana-Louisiana","Indiana","Louisiana","United States","United States",32360
"Nevada-Wyoming","Nevada","Wyoming","United States","United States",32360
"Alaska-Georgia","Alaska","Georgia","United States","United States",32290
"Indiana-Utah","Indiana","Utah","United States","United States",32130
"Minnesota-South Carolina","Minnesota","South Carolina","United States","United States",31960
"Alaska-Utah","Alaska","Utah","United States","United States",31950
"Maine-Michigan","Maine","Michigan","United States","United States",31860
"District of Columbia-Vermont","District of Columbia","Vermont","United States","United States",31600
"Texas-Wyoming","Texas","Wyoming","United States","United States",31410
"California-Vermont","California","Vermont","United States","United States",31300
"District of Columbia-New Mexico","District of Columbia","New Mexico","United States","United States",30860
"District of Columbia-New Hampshire","District of Columbia","New Hampshire","United States","United States",30530
"New Jersey-Vermont","New Jersey","Vermont","United States","United States",30490
"Nebraska-Oregon","Nebraska","Oregon","United States","United States",30260
"Louisiana-South Carolina","Louisiana","South Carolina","United States","United States",30200
"Indiana-Oregon","Indiana","Oregon","United States","United States",30180
"Kentucky-Wisconsin","Kentucky","Wisconsin","United States","United States",30050
"Utah-Wisconsin","Utah","Wisconsin","United States","United States",29570
"Connecticut-South Carolina","Connecticut","South Carolina","United States","United States",29550
"South Carolina-West Virginia","South Carolina","West Virginia","United States","United States",29350
"Louisiana-Wisconsin","Louisiana","Wisconsin","United States","United States",28950
"Iowa-Missouri","Iowa","Missouri","United States","United States",28750
"Connecticut-Missouri","Connecticut","Missouri","United States","United States",28420
"Alabama-Missouri","Alabama","Missouri","United States","United States",28280
"Alaska-New York","Alaska","New York","United States","United States",28050
"Georgia-Montana","Georgia","Montana","United States","United States",27620
"New Jersey-Oklahoma","New Jersey","Oklahoma","United States","United States",27360
"Georgia-West Virginia","Georgia","West Virginia","United States","United States",27040
"Georgia-New Hampshire","Georgia","New Hampshire","United States","United States",26920
"Montana-New York","Montana","New York","United States","United States",26540
"Kansas-Missouri","Kansas","Missouri","United States","United States",26450
"Pennsylvania-Vermont","Pennsylvania","Vermont","United States","United States",26390
"North Carolina-Vermont","North Carolina","Vermont","United States","United States",26350
"Nebraska-Utah","Nebraska","Utah","United States","United States",26230
"Kentucky-Oregon","Kentucky","Oregon","United States","United States",26130
"Indiana-Tennessee","Indiana","Tennessee","United States","United States",25710
"Iowa-Pennsylvania","Iowa","Pennsylvania","United States","United States",25580
"Nebraska-Pennsylvania","Nebraska","Pennsylvania","United States","United States",25520
"Oklahoma-Oregon","Oklahoma","Oregon","United States","United States",25440
"Kentucky-Tennessee","Kentucky","Tennessee","United States","United States",25120
"District of Columbia-Maryland","District of Columbia","Maryland","United States","United States",24970
"Alabama-Ohio","Alabama","Ohio","United States","United States",24680
"Maine-Virginia","Maine","Virginia","United States","United States",24640
"New Hampshire-Texas","New Hampshire","Texas","United States","United States",24490
"Nebraska-New Jersey","Nebraska","New Jersey","United States","United States",24290
"New Mexico-Pennsylvania","New Mexico","Pennsylvania","United States","United States",24250
"Michigan-New Hampshire","Michigan","New Hampshire","United States","United States",24240
"Arkansas-Pennsylvania","Arkansas","Pennsylvania","United States","United States",24200
"Iowa-Washington","Iowa","Washington","United States","United States",24100
"Massachusetts-New Mexico","Massachusetts","New Mexico","United States","United States",23900
"New Mexico-North Carolina","New Mexico","North Carolina","United States","United States",23820
"Minnesota-New Mexico","Minnesota","New Mexico","United States","United States",23300
"Alaska-Massachusetts","Alaska","Massachusetts","United States","United States",23100
"Alaska-Missouri","Alaska","Missouri","United States","United States",23090
"Arkansas-District of Columbia","Arkansas","District of Columbia","United States","United States",23040
"Alabama-Washington","Alabama","Washington","United States","United States",23030
"Connecticut-Washington","Connecticut","Washington","United States","United States",22840
"South Carolina-Wisconsin","South Carolina","Wisconsin","United States","United States",22780
"Alaska-Michigan","Alaska","Michigan","United States","United States",22730
"Massachusetts-Oklahoma","Massachusetts","Oklahoma","United States","United States",22390
"New Mexico-Virginia","New Mexico","Virginia","United States","United States",22040
"Nebraska-Tennessee","Nebraska","Tennessee","United States","United States",21990
"Alaska-Montana","Alaska","Montana","United States","United States",21660
"District of Columbia-Mississippi","District of Columbia","Mississippi","United States","United States",21570
"Arizona-Rhode Island","Arizona","Rhode Island","United States","United States",21460
"Arkansas-Michigan","Arkansas","Michigan","United States","United States",21370
"Alabama-Massachusetts","Alabama","Massachusetts","United States","United States",21100
"Alabama-New Jersey","Alabama","New Jersey","United States","United States",21010
"Georgia-Idaho","Georgia","Idaho","United States","United States",20920
"Massachusetts-Montana","Massachusetts","Montana","United States","United States",20770
"New Mexico-Tennessee","New Mexico","Tennessee","United States","United States",20540
"Nebraska-Ohio","Nebraska","Ohio","United States","United States",20360
"Connecticut-Kentucky","Connecticut","Kentucky","United States","United States",20330
"Illinois-Mississippi","Illinois","Mississippi","United States","United States",20180
"Idaho-New York","Idaho","New York","United States","United States",19430
"Arkansas-Washington","Arkansas","Washington","United States","United States",19100
"Alaska-Pennsylvania","Alaska","Pennsylvania","United States","United States",19030
"Nebraska-Virginia","Nebraska","Virginia","United States","United States",18960
"Alaska-Idaho","Alaska","Idaho","United States","United States",18890
"Missouri-Montana","Missouri","Montana","United States","United States",18880
"Nevada-Rhode Island","Nevada","Rhode Island","United States","United States",18760
"Rhode Island-Tennessee","Rhode Island","Tennessee","United States","United States",18700
"Iowa-New Jersey","Iowa","New Jersey","United States","United States",18690
"Texas-West Virginia","Texas","West Virginia","United States","United States",18610
"Georgia-South Dakota","Georgia","South Dakota","United States","United States",18570
"South Carolina-Utah","South Carolina","Utah","United States","United States",18340
"Arkansas-New Jersey","Arkansas","New Jersey","United States","United States",18020
"Iowa-Tennessee","Iowa","Tennessee","United States","United States",17880
"Vermont-Virginia","Vermont","Virginia","United States","United States",17870
"Iowa-Ohio","Iowa","Ohio","United States","United States",17770
"Idaho-Missouri","Idaho","Missouri","United States","United States",17700
"Oregon-South Carolina","Oregon","South Carolina","United States","United States",17600
"Arkansas-Virginia","Arkansas","Virginia","United States","United States",17560
"Arkansas-Minnesota","Arkansas","Minnesota","United States","United States",17530
"New Mexico-Ohio","New Mexico","Ohio","United States","United States",17480
"Georgia-Vermont","Georgia","Vermont","United States","United States",17310
"Illinois-Wyoming","Illinois","Wyoming","United States","United States",17290
"Montana-Pennsylvania","Montana","Pennsylvania","United States","United States",17110
"Colorado-Rhode Island","Colorado","Rhode Island","United States","United States",17040
"Connecticut-Indiana","Connecticut","Indiana","United States","United States",16930
"New Jersey-New Mexico","New Jersey","New Mexico","United States","United States",16850
"Arkansas-Ohio","Arkansas","Ohio","United States","United States",16760
"Connecticut-Louisiana","Connecticut","Louisiana","United States","United States",16730
"Colorado-Maine","Colorado","Maine","United States","United States",16710
"Alabama-Utah","Alabama","Utah","United States","United States",16660
"Massachusetts-Nebraska","Massachusetts","Nebraska","United States","United States",16660
"Michigan-Montana","Michigan","Montana","United States","United States",16650
"Iowa-Oregon","Iowa","Oregon","United States","United States",16620
"Iowa-Massachusetts","Iowa","Massachusetts","United States","United States",16610
"Indiana-Oklahoma","Indiana","Oklahoma","United States","United States",16600
"Mississippi-New York","Mississippi","New York","United States","United States",16390
"Alabama-Minnesota","Alabama","Minnesota","United States","United States",16380
"Oklahoma-South Carolina","Oklahoma","South Carolina","United States","United States",16200
"Montana-North Carolina","Montana","North Carolina","United States","United States",16140
"Michigan-New Mexico","Michigan","New Mexico","United States","United States",16090
"Ohio-Rhode Island","Ohio","Rhode Island","United States","United States",15940
"Kansas-Minnesota","Kansas","Minnesota","United States","United States",15860
"Rhode Island-South Carolina","Rhode Island","South Carolina","United States","United States",15840
"New Hampshire-New York","New Hampshire","New York","United States","United States",15810
"Missouri-Rhode Island","Missouri","Rhode Island","United States","United States",15680
"Alaska-North Carolina","Alaska","North Carolina","United States","United States",15610
"Kansas-New York","Kansas","New York","United States","United States",15610
"Arizona-New Hampshire","Arizona","New Hampshire","United States","United States",15550
"Texas-Vermont","Texas","Vermont","United States","United States",15490
"Connecticut-Wisconsin","Connecticut","Wisconsin","United States","United States",15150
"Colorado-New Hampshire","Colorado","New Hampshire","United States","United States",15050
"Connecticut-New Jersey","Connecticut","New Jersey","United States","United States",15010
"Iowa-Utah","Iowa","Utah","United States","United States",14990
"Michigan-Vermont","Michigan","Vermont","United States","United States",14750
"Indiana-Wisconsin","Indiana","Wisconsin","United States","United States",14650
"Oklahoma-Wisconsin","Oklahoma","Wisconsin","United States","United States",14570
"Louisiana-New Mexico","Louisiana","New Mexico","United States","United States",14370
"New York-Wyoming","New York","Wyoming","United States","United States",14310
"Iowa-Virginia","Iowa","Virginia","United States","United States",14220
"Montana-New Jersey","Montana","New Jersey","United States","United States",14190
"Louisiana-Nebraska","Louisiana","Nebraska","United States","United States",14140
"Mississippi-Virginia","Mississippi","Virginia","United States","United States",14040
"Arkansas-Maryland","Arkansas","Maryland","United States","United States",14000
"Florida-Wyoming","Florida","Wyoming","United States","United States",13990
"Kansas-Washington","Kansas","Washington","United States","United States",13980
"North Dakota-Washington","North Dakota","Washington","United States","United States",13900
"Arkansas-Massachusetts","Arkansas","Massachusetts","United States","United States",13890
"New Jersey-Rhode Island","New Jersey","Rhode Island","United States","United States",13860
"Maine-Tennessee","Maine","Tennessee","United States","United States",13850
"Kansas-North Carolina","Kansas","North Carolina","United States","United States",13810
"Kentucky-Oklahoma","Kentucky","Oklahoma","United States","United States",13770
"Colorado-Vermont","Colorado","Vermont","United States","United States",13750
"Nevada-New Hampshire","Nevada","New Hampshire","United States","United States",13670
"Maine-Ohio","Maine","Ohio","United States","United States",13460
"Arkansas-Tennessee","Arkansas","Tennessee","United States","United States",13440
"Idaho-Pennsylvania","Idaho","Pennsylvania","United States","United States",13420
"New Hampshire-New Jersey","New Hampshire","New Jersey","United States","United States",13420
"Connecticut-Utah","Connecticut","Utah","United States","United States",13390
"Georgia-North Dakota","Georgia","North Dakota","United States","United States",13280
"Montana-Tennessee","Montana","Tennessee","United States","United States",13190
"Missouri-New Hampshire","Missouri","New Hampshire","United States","United States",13090
"Alabama-South Carolina","Alabama","South Carolina","United States","United States",13000
"Mississippi-Pennsylvania","Mississippi","Pennsylvania","United States","United States",12960
"Indiana-Nebraska","Indiana","Nebraska","United States","United States",12950
"Alabama-Oklahoma","Alabama","Oklahoma","United States","United States",12930
"Maine-Missouri","Maine","Missouri","United States","United States",12910
"District of Columbia-Montana","District of Columbia","Montana","United States","United States",12900
"Arizona-Maine","Arizona","Maine","United States","United States",12900
"Colorado-Mississippi","Colorado","Mississippi","United States","United States",12790
"Alaska-District of Columbia","Alaska","District of Columbia","United States","United States",12750
"Arkansas-Louisiana","Arkansas","Louisiana","United States","United States",12690
"Alaska-New Jersey","Alaska","New Jersey","United States","United States",12550
"Kansas-Pennsylvania","Kansas","Pennsylvania","United States","United States",12480
"Idaho-North Carolina","Idaho","North Carolina","United States","United States",12460
"New Hampshire-Tennessee","New Hampshire","Tennessee","United States","United States",12260
"South Dakota-Washington","South Dakota","Washington","United States","United States",12210
"New Hampshire-Ohio","New Hampshire","Ohio","United States","United States",12170
"Idaho-Massachusetts","Idaho","Massachusetts","United States","United States",12120
"Connecticut-Oregon","Connecticut","Oregon","United States","United States",12030
"Idaho-Michigan","Idaho","Michigan","United States","United States",11980
"Iowa-Maryland","Iowa","Maryland","United States","United States",11960
"Nebraska-Wisconsin","Nebraska","Wisconsin","United States","United States",11910
"Louisiana-Rhode Island","Louisiana","Rhode Island","United States","United States",11860
"New Mexico-Oklahoma","New Mexico","Oklahoma","United States","United States",11840
"Maryland-Nebraska","Maryland","Nebraska","United States","United States",11760
"Alabama-Indiana","Alabama","Indiana","United States","United States",11570
"Rhode Island-Washington","Rhode Island","Washington","United States","United States",11560
"Alaska-Tennessee","Alaska","Tennessee","United States","United States",11540
"Arkansas-Kentucky","Arkansas","Kentucky","United States","United States",11460
"Montana-Virginia","Montana","Virginia","United States","United States",11430
"District of Columbia-Idaho","District of Columbia","Idaho","United States","United States",11340
"New York-South Dakota","New York","South Dakota","United States","United States",11280
"Alabama-Louisiana","Alabama","Louisiana","United States","United States",11190
"Alabama-Kentucky","Alabama","Kentucky","United States","United States",11140
"Montana-Wisconsin","Montana","Wisconsin","United States","United States",11080
"Alaska-Virginia","Alaska","Virginia","United States","United States",10970
"Kentucky-Nebraska","Kentucky","Nebraska","United States","United States",10890
"Idaho-Tennessee","Idaho","Tennessee","United States","United States",10860
"Alabama-Oregon","Alabama","Oregon","United States","United States",10720
"Maine-South Carolina","Maine","South Carolina","United States","United States",10660
"Georgia-Wyoming","Georgia","Wyoming","United States","United States",10620
"Arkansas-Oregon","Arkansas","Oregon","United States","United States",10470
"Maryland-New Jersey","Maryland","New Jersey","United States","United States",10460
"District of Columbia-Kansas","District of Columbia","Kansas","United States","United States",10450
"Idaho-Virginia","Idaho","Virginia","United States","United States",10440
"Minnesota-Rhode Island","Minnesota","Rhode Island","United States","United States",10380
"Missouri-North Dakota","Missouri","North Dakota","United States","United States",10330
"Nebraska-South Carolina","Nebraska","South Carolina","United States","United States",10310
"Maryland-Montana","Maryland","Montana","United States","United States",10260
"Arkansas-Wisconsin","Arkansas","Wisconsin","United States","United States",10200
"Arkansas-South Carolina","Arkansas","South Carolina","United States","United States",10150
"Iowa-Louisiana","Iowa","Louisiana","United States","United States",10130
"Indiana-Ohio","Indiana","Ohio","United States","United States",10090
"Illinois-West Virginia","Illinois","West Virginia","United States","United States",10080
"Idaho-Maryland","Idaho","Maryland","United States","United States",10070
"New Mexico-Wisconsin","New Mexico","Wisconsin","United States","United States",10030
"Alabama-Wisconsin","Alabama","Wisconsin","United States","United States",9990
"Kansas-Tennessee","Kansas","Tennessee","United States","United States",9940
"New York-North Dakota","New York","North Dakota","United States","United States",9840
"Kentucky-Rhode Island","Kentucky","Rhode Island","United States","United States",9810
"Arkansas-Indiana","Arkansas","Indiana","United States","United States",9810
"Michigan-North Dakota","Michigan","North Dakota","United States","United States",9760
"Alaska-Louisiana","Alaska","Louisiana","United States","United States",9730
"Idaho-New Jersey","Idaho","New Jersey","United States","United States",9700
"Arkansas-Utah","Arkansas","Utah","United States","United States",9700
"Arizona-Wyoming","Arizona","Wyoming","United States","United States",9670
"Michigan-Mississippi","Michigan","Mississippi","United States","United States",9550
"Louisiana-Maine","Louisiana","Maine","United States","United States",9510
"Montana-Ohio","Montana","Ohio","United States","United States",9480
"Idaho-Montana","Idaho","Montana","United States","United States",9480
"South Dakota-Utah","South Dakota","Utah","United States","United States",9410
"California-West Virginia","California","West Virginia","United States","United States",9400
"Alaska-Maryland","Alaska","Maryland","United States","United States",9330
"New Hampshire-South Carolina","New Hampshire","South Carolina","United States","United States",9310
"New Hampshire-Virginia","New Hampshire","Virginia","United States","United States",9310
"North Dakota-Utah","North Dakota","Utah","United States","United States",9220
"North Carolina-South Dakota","North Carolina","South Dakota","United States","United States",9210
"Mississippi-Nevada","Mississippi","Nevada","United States","United States",9100
"Arizona-Mississippi","Arizona","Mississippi","United States","United States",9100
"Maine-Minnesota","Maine","Minnesota","United States","United States",9090
"Maine-Nevada","Maine","Nevada","United States","United States",9020
"Mississippi-Missouri","Mississippi","Missouri","United States","United States",9010
"Indiana-Iowa","Indiana","Iowa","United States","United States",8990
"Alabama-Connecticut","Alabama","Connecticut","United States","United States",8960
"Connecticut-New York","Connecticut","New York","United States","United States",8910
"Alaska-Ohio","Alaska","Ohio","United States","United States",8900
"New Jersey-Wyoming","New Jersey","Wyoming","United States","United States",8780
"Mississippi-Washington","Mississippi","Washington","United States","United States",8780
"Indiana-New Mexico","Indiana","New Mexico","United States","United States",8770
"Idaho-Ohio","Idaho","Ohio","United States","United States",8760
"Pennsylvania-South Dakota","Pennsylvania","South Dakota","United States","United States",8680
"Indiana-Rhode Island","Indiana","Rhode Island","United States","United States",8620
"Maine-Washington","Maine","Washington","United States","United States",8620
"Kansas-Michigan","Kansas","Michigan","United States","United States",8530
"Kansas-Virginia","Kansas","Virginia","United States","United States",8470
"Massachusetts-Wyoming","Massachusetts","Wyoming","United States","United States",8450
"Connecticut-Oklahoma","Connecticut","Oklahoma","United States","United States",8400
"Pennsylvania-Wyoming","Pennsylvania","Wyoming","United States","United States",8320
"District of Columbia-South Dakota","District of Columbia","South Dakota","United States","United States",8310
"Kansas-Ohio","Kansas","Ohio","United States","United States",8260
"Alaska-Oklahoma","Alaska","Oklahoma","United States","United States",8240
"Oregon-South Dakota","Oregon","South Dakota","United States","United States",8190
"Idaho-Wisconsin","Idaho","Wisconsin","United States","United States",8160
"Kentucky-Ohio","Kentucky","Ohio","United States","United States",8150
"North Carolina-North Dakota","North Carolina","North Dakota","United States","United States",8120
"Iowa-South Carolina","Iowa","South Carolina","United States","United States",8120
"North Dakota-Pennsylvania","North Dakota","Pennsylvania","United States","United States",7990
"Iowa-Kentucky","Iowa","Kentucky","United States","United States",7960
"Virginia-West Virginia","Virginia","West Virginia","United States","United States",7940
"Alaska-Wisconsin","Alaska","Wisconsin","United States","United States",7760
"Mississippi-Ohio","Mississippi","Ohio","United States","United States",7760
"District of Columbia-North Dakota","District of Columbia","North Dakota","United States","United States",7740
"Maine-Wisconsin","Maine","Wisconsin","United States","United States",7690
"Michigan-South Dakota","Michigan","South Dakota","United States","United States",7670
"Mississippi-South Carolina","Mississippi","South Carolina","United States","United States",7590
"Kentucky-New Mexico","Kentucky","New Mexico","United States","United States",7590
"North Dakota-Tennessee","North Dakota","Tennessee","United States","United States",7540
"North Dakota-Oregon","North Dakota","Oregon","United States","United States",7520
"Minnesota-Mississippi","Minnesota","Mississippi","United States","United States",7500
"Kentucky-Maine","Kentucky","Maine","United States","United States",7490
"South Dakota-Tennessee","South Dakota","Tennessee","United States","United States",7330
"Washington-Wyoming","Washington","Wyoming","United States","United States",7310
"Kentucky-New Hampshire","Kentucky","New Hampshire","United States","United States",7290
"Rhode Island-Wisconsin","Rhode Island","Wisconsin","United States","United States",7230
"Minnesota-Wyoming","Minnesota","Wyoming","United States","United States",7230
"Virginia-Wyoming","Virginia","Wyoming","United States","United States",7220
"Kansas-Massachusetts","Kansas","Massachusetts","United States","United States",7140
"Vermont-Washington","Vermont","Washington","United States","United States",7120
"Arizona-Vermont","Arizona","Vermont","United States","United States",7090
"Missouri-South Dakota","Missouri","South Dakota","United States","United States",7040
"Idaho-Oklahoma","Idaho","Oklahoma","United States","United States",7030
"Louisiana-Montana","Louisiana","Montana","United States","United States",6990
"Kentucky-Montana","Kentucky","Montana","United States","United States",6970
"Massachusetts-Mississippi","Massachusetts","Mississippi","United States","United States",6950
"Mississippi-Tennessee","Mississippi","Tennessee","United States","United States",6810
"Connecticut-New Mexico","Connecticut","New Mexico","United States","United States",6730
"Alabama-New Mexico","Alabama","New Mexico","United States","United States",6730
"Kansas-Oregon","Kansas","Oregon","United States","United States",6690
"Kansas-Maryland","Kansas","Maryland","United States","United States",6680
"Ohio-South Dakota","Ohio","South Dakota","United States","United States",6660
"District of Columbia-West Virginia","District of Columbia","West Virginia","United States","United States",6660
"Indiana-Montana","Indiana","Montana","United States","United States",6630
"Mississippi-New Jersey","Mississippi","New Jersey","United States","United States",6600
"Alabama-Tennessee","Alabama","Tennessee","United States","United States",6590
"Kansas-Louisiana","Kansas","Louisiana","United States","United States",6590
"South Dakota-Virginia","South Dakota","Virginia","United States","United States",6520
"New Mexico-South Carolina","New Mexico","South Carolina","United States","United States",6510
"North Carolina-Wyoming","North Carolina","Wyoming","United States","United States",6490
"Nevada-Vermont","Nevada","Vermont","United States","United States",6470
"Alabama-Arkansas","Alabama","Arkansas","United States","United States",6460
"North Dakota-Oklahoma","North Dakota","Oklahoma","United States","United States",6440
"Minnesota-New Hampshire","Minnesota","New Hampshire","United States","United States",6440
"Indiana-Maine","Indiana","Maine","United States","United States",6430
"Alaska-New Mexico","Alaska","New Mexico","United States","United States",6430
"Alabama-Nebraska","Alabama","Nebraska","United States","United States",6380
"Maryland-Mississippi","Maryland","Mississippi","United States","United States",6210
"Idaho-New Mexico","Idaho","New Mexico","United States","United States",6160
"New York-West Virginia","New York","West Virginia","United States","United States",6150
"New Hampshire-Utah","New Hampshire","Utah","United States","United States",6100
"Alaska-Nebraska","Alaska","Nebraska","United States","United States",6100
"Montana-Oklahoma","Montana","Oklahoma","United States","United States",6060
"Kansas-New Jersey","Kansas","New Jersey","United States","United States",6060
"Idaho-Louisiana","Idaho","Louisiana","United States","United States",6030
"Pennsylvania-West Virginia","Pennsylvania","West Virginia","United States","United States",5940
"Idaho-Indiana","Idaho","Indiana","United States","United States",5930
"New Hampshire-Washington","New Hampshire","Washington","United States","United States",5920
"Montana-New Mexico","Montana","New Mexico","United States","United States",5920
"North Dakota-Ohio","North Dakota","Ohio","United States","United States",5870
"Nebraska-Oklahoma","Nebraska","Oklahoma","United States","United States",5780
"Idaho-Nebraska","Idaho","Nebraska","United States","United States",5690
"Rhode Island-Utah","Rhode Island","Utah","United States","United States",5690
"Minnesota-Vermont","Minnesota","Vermont","United States","United States",5680
"North Dakota-Wisconsin","North Dakota","Wisconsin","United States","United States",5670
"Indiana-Kansas","Indiana","Kansas","United States","United States",5670
"Iowa-Oklahoma","Iowa","Oklahoma","United States","United States",5630
"Alabama-Rhode Island","Alabama","Rhode Island","United States","United States",5520
"North Dakota-Virginia","North Dakota","Virginia","United States","United States",5500
"Louisiana-North Dakota","Louisiana","North Dakota","United States","United States",5500
"Connecticut-Iowa","Connecticut","Iowa","United States","United States",5460
"Connecticut-Nebraska","Connecticut","Nebraska","United States","United States",5420
"Kansas-Utah","Kansas","Utah","United States","United States",5390
"New Jersey-South Dakota","New Jersey","South Dakota","United States","United States",5370
"New Hampshire-Wisconsin","New Hampshire","Wisconsin","United States","United States",5310
"Massachusetts-South Dakota","Massachusetts","South Dakota","United States","United States",5300
"Louisiana-New Hampshire","Louisiana","New Hampshire","United States","United States",5300
"New York-Rhode Island","New York","Rhode Island","United States","United States",5290
"Montana-Nebraska","Montana","Nebraska","United States","United States",5230
"Idaho-Kentucky","Idaho","Kentucky","United States","United States",5160
"Nebraska-New Mexico","Nebraska","New Mexico","United States","United States",5160
"Indiana-New Hampshire","Indiana","New Hampshire","United States","United States",5130
"Indiana-Mississippi","Indiana","Mississippi","United States","United States",5130
"Indiana-South Dakota","Indiana","South Dakota","United States","United States",5100
"Kentucky-Mississippi","Kentucky","Mississippi","United States","United States",5100
"Tennessee-Wyoming","Tennessee","Wyoming","United States","United States",5090
"Tennessee-Vermont","Tennessee","Vermont","United States","United States",5030
"Alaska-Indiana","Alaska","Indiana","United States","United States",5000
"South Carolina-Vermont","South Carolina","Vermont","United States","United States",4920
"Kansas-Kentucky","Kansas","Kentucky","United States","United States",4890
"Mississippi-Oklahoma","Mississippi","Oklahoma","United States","United States",4810
"South Dakota-Wisconsin","South Dakota","Wisconsin","United States","United States",4790
"Oregon-Wyoming","Oregon","Wyoming","United States","United States",4760
"Michigan-Wyoming","Michigan","Wyoming","United States","United States",4750
"Oregon-Rhode Island","Oregon","Rhode Island","United States","United States",4710
"Alaska-Kentucky","Alaska","Kentucky","United States","United States",4700
"Mississippi-Utah","Mississippi","Utah","United States","United States",4600
"District of Columbia-Wyoming","District of Columbia","Wyoming","United States","United States",4580
"Alabama-Iowa","Alabama","Iowa","United States","United States",4540
"Massachusetts-North Dakota","Massachusetts","North Dakota","United States","United States",4470
"Indiana-North Dakota","Indiana","North Dakota","United States","United States",4460
"Maine-Utah","Maine","Utah","United States","United States",4430
"Missouri-Wyoming","Missouri","Wyoming","United States","United States",4400
"Kansas-Wisconsin","Kansas","Wisconsin","United States","United States",4360
"New Jersey-North Dakota","New Jersey","North Dakota","United States","United States",4340
"Ohio-Wyoming","Ohio","Wyoming","United States","United States",4300
"Mississippi-Wisconsin","Mississippi","Wisconsin","United States","United States",4280
"Oregon-Vermont","Oregon","Vermont","United States","United States",4250
"Missouri-Vermont","Missouri","Vermont","United States","United States",4230
"Ohio-Vermont","Ohio","Vermont","United States","United States",4110
"Kentucky-South Dakota","Kentucky","South Dakota","United States","United States",4080
"Kansas-South Carolina","Kansas","South Carolina","United States","United States",4070
"Arkansas-Nebraska","Arkansas","Nebraska","United States","United States",4050
"Colorado-West Virginia","Colorado","West Virginia","United States","United States",4050
"Maine-Oregon","Maine","Oregon","United States","United States",4050
"Alabama-New Hampshire","Alabama","New Hampshire","United States","United States",4020
"Alabama-Ontario","Alabama","Ontario","United States","Canada",28020
"Alaska-Alberta","Alaska","Alberta","United States","Canada",14740
"Alaska-British Columbia","Alaska","British Columbia","United States","Canada",59860
"Alaska-Ontario","Alaska","Ontario","United States","Canada",22060
"Alberta-Arizona","Alberta","Arizona","Canada","United States",639726
"Alberta-California","Alberta","California","Canada","United States",1587178
"Alberta-Colorado","Alberta","Colorado","Canada","United States",111540
"Alberta-Connecticut","Alberta","Connecticut","Canada","United States",13000
"Alberta-District of Columbia","Alberta","District of Columbia","Canada","United States",100080
"Alberta-Florida","Alberta","Florida","Canada","United States",441138
"Alberta-Illinois","Alberta","Illinois","Canada","United States",151834
"Alberta-Indiana","Alberta","Indiana","Canada","United States",13920
"Alberta-Louisiana","Alberta","Louisiana","Canada","United States",42320
"Alberta-Michigan","Alberta","Michigan","Canada","United States",23280
"Alberta-Minnesota","Alberta","Minnesota","Canada","United States",90200
"Alberta-Missouri","Alberta","Missouri","Canada","United States",54240
"Alberta-Nebraska","Alberta","Nebraska","Canada","United States",8540
"Alberta-Nevada","Alberta","Nevada","Canada","United States",868192
"Alberta-New York","Alberta","New York","Canada","United States",381944
"Alberta-North Carolina","Alberta","North Carolina","Canada","United States",45060
"Alberta-Ohio","Alberta","Ohio","Canada","United States",38180
"Alberta-Oklahoma","Alberta","Oklahoma","Canada","United States",20700
"Alberta-Oregon","Alberta","Oregon","Canada","United States",97560
"Alberta-Pennsylvania","Alberta","Pennsylvania","Canada","United States",78920
