"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Quintana Roo-Tabasco","Quintana Roo","Tabasco","Mexico","Mexico",76617
"Mexico City-Utah","Distrito Federal","Utah","Mexico","United States",151324
"Baja California-Nayarit","Baja California","Nayarit","Mexico","Mexico",74869
"Baja California-Durango","Baja California","Durango","Mexico","Mexico",74501
"Arizona-Sinaloa","Arizona","Sinaloa","United States","Mexico",147024
"California-Guerrero","California","Guerrero","United States","Mexico",146252
"Chihuahua-Texas","Chihuahua","Texas","Mexico","United States",144194
"Texas-Yucatán","Texas","Yucatan","United States","Mexico",141448
"Querétaro-Quintana Roo","Queretaro","Quintana Roo","Mexico","Mexico",69803
"Baja California-Puebla","Baja California","Puebla","Mexico","Mexico",68909
"Baja California-Zacatecas","Baja California","Zacatecas","Mexico","Mexico",68696
"Jalisco-Oregon","Jalisco","Oregon","Mexico","United States",134364
"Baja California-Colima","Baja California","Colima","Mexico","Mexico",66780
"Florida-Jalisco","Florida","Jalisco","United States","Mexico",131238
"Baja California-Guerrero","Baja California","Guerrero","Mexico","Mexico",65362
"Massachusetts-Mexico City","Massachusetts","Distrito Federal","United States","Mexico",123380
"Colorado-Mexico City","Colorado","Distrito Federal","United States","Mexico",122214
"Nuevo León-Oaxaca","Nuevo Leon","Oaxaca","Mexico","Mexico",59810
"California-Sinaloa","California","Sinaloa","United States","Mexico",118852
"Guerrero-Nuevo León","Guerrero","Nuevo Leon","Mexico","Mexico",59344
"Mexico City-North Carolina","Distrito Federal","North Carolina","Mexico","United States",117528
"Chihuahua-Sonora","Chihuahua","Sonora","Mexico","Mexico",56589
"Manitoba-Quintana Roo","Manitoba","Quintana Roo","Canada","Mexico",111564
"Baja California Sur-Sonora","Baja California Sur","Sonora","Mexico","Mexico",55701
"Jalisco-Utah","Jalisco","Utah","Mexico","United States",108808
"Jalisco-New York","Jalisco","New York","Mexico","United States",107940
"New York-Nuevo León","New York","Nuevo Leon","United States","Mexico",107660
"California-Zacatecas","California","Zacatecas","United States","Mexico",106912
"Quintana Roo-Washington","Quintana Roo","Washington","Mexico","United States",106302
"Michoacán-Texas","Michoacan de Ocampo","Texas","Mexico","United States",105758
"Quintana Roo-Saskatchewan","Quintana Roo","Saskatchewan","Mexico","Canada",104736
"Coahuila-Jalisco","Coahuila de Zaragoza","Jalisco","Mexico","Mexico",49976
"Puebla-Texas","Puebla","Texas","Mexico","United States",98336
"Quintana Roo-Wisconsin","Quintana Roo","Wisconsin","Mexico","United States",96440
"Tabasco-Yucatán","Tabasco","Yucatan","Mexico","Mexico",47963
"Aguascalientes-California","Aguascalientes","California","Mexico","United States",95788
"Georgia-Guanajuato","Georgia","Guanajuato","United States","Mexico",93586
"Aguascalientes-Quintana Roo","Aguascalientes","Quintana Roo","Mexico","Mexico",44571
"Jalisco-Quebec","Jalisco","Quebec","Mexico","Canada",88666
"Mexico City-Nayarit","Distrito Federal","Nayarit","Mexico","Mexico",44232
"Quintana Roo-San Luis Potosí","Quintana Roo","San Luis Potosi","Mexico","Mexico",44198
"Baja California Sur-California","Baja California Sur","California","Mexico","United States",87098
"Sinaloa-Sonora","Sinaloa","Sonora","Mexico","Mexico",43446
"Baja California-Querétaro","Baja California","Queretaro","Mexico","Mexico",42553
"Illinois-Zacatecas","Illinois","Zacatecas","United States","Mexico",84566
"Texas-Veracruz","Texas","Veracruz de Ignacio de la Llave","United States","Mexico",81278
"Jalisco-Saskatchewan","Jalisco","Saskatchewan","Mexico","Canada",77272
"Guerrero-Texas","Guerrero","Texas","Mexico","United States",76058
"Jalisco-Manitoba","Jalisco","Manitoba","Mexico","Canada",74992
"Coahuila-Texas","Coahuila de Zaragoza","Texas","Mexico","United States",73840
"Alberta-Sinaloa","Alberta","Sinaloa","Canada","Mexico",72638
"Florida-Yucatán","Florida","Yucatan","United States","Mexico",72140
"Tabasco-Veracruz","Tabasco","Veracruz de Ignacio de la Llave","Mexico","Mexico",35419
"Jalisco-New Jersey","Jalisco","New Jersey","Mexico","United States",69728
"Nuevo León-San Luis Potosí","Nuevo Leon","San Luis Potosi","Mexico","Mexico",33561
"Chihuahua-Sinaloa","Chihuahua","Sinaloa","Mexico","Mexico",33208
"California-Colima","California","Colima","United States","Mexico",66160
"Guerrero-State of Mexico","Guerrero","Estado de Mexico","Mexico","Mexico",32874
"Guanajuato-Illinois","Guanajuato","Illinois","Mexico","United States",64462
"Chihuahua-Guanajuato","Chihuahua","Guanajuato","Mexico","Mexico",32228
"Nova Scotia-Quintana Roo","Nova Scotia","Quintana Roo","Canada","Mexico",63894
"Kentucky-Quintana Roo","Kentucky","Quintana Roo","United States","Mexico",63666
"Chihuahua-Coahuila","Chihuahua","Coahuila de Zaragoza","Mexico","Mexico",30987
"Arizona-Sonora","Arizona","Sonora","United States","Mexico",61440
"Oaxaca-Ontario","Oaxaca","Ontario","Mexico","Canada",61434
"Jalisco-New Hampshire","Jalisco","New Hampshire","Mexico","United States",60380
"Tabasco-Tamaulipas","Tabasco","Tamaulipas","Mexico","Mexico",30143
"Alberta-Guerrero","Alberta","Guerrero","Canada","Mexico",58334
"Minnesota-Sinaloa","Minnesota","Sinaloa","United States","Mexico",57240
"Oaxaca-Texas","Oaxaca","Texas","Mexico","United States",55678
"Tamaulipas-Texas","Tamaulipas","Texas","Mexico","United States",53740
"Guanajuato-Jalisco","Guanajuato","Jalisco","Mexico","Mexico",26716
"Durango-Illinois","Durango","Illinois","Mexico","United States",52184
"Jalisco-Michigan","Jalisco","Michigan","Mexico","United States",50098
"Alberta-Oaxaca","Alberta","Oaxaca","Canada","Mexico",50040
"Durango-Nuevo León","Durango","Nuevo Leon","Mexico","Mexico",24943
"Chihuahua-Quintana Roo","Chihuahua","Quintana Roo","Mexico","Mexico",24503
"Jalisco-Querétaro","Jalisco","Queretaro","Mexico","Mexico",24342
"Quintana Roo-Tennessee","Quintana Roo","Tennessee","Mexico","United States",47544
"Sinaloa-Texas","Sinaloa","Texas","Mexico","United States",47380
"Baja California-Coahuila","Baja California","Coahuila de Zaragoza","Mexico","Mexico",23409
"Baja California-Veracruz","Baja California","Veracruz de Ignacio de la Llave","Mexico","Mexico",22443
"California-Sonora","California","Sonora","United States","Mexico",44874
"Jalisco-Oaxaca","Jalisco","Oaxaca","Mexico","Mexico",22342
"Campeche-Veracruz","Campeche","Veracruz de Ignacio de la Llave","Mexico","Mexico",21709
"Durango-Jalisco","Durango","Jalisco","Mexico","Mexico",21467
