dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
real,tr00,real,,NaN,,22,Estado de Mexico,MX,27,2020-07-20,24
real,tr00,real,,NaN,,55,New York,US,27,2020-07-20,23
real,tr00,real,,NaN,,84,Texas,US,28,2020-07-27,195
real,tr00,real,,NaN,,10,California,US,28,2020-07-27,134
real,tr00,real,,NaN,,66,Ontario,CA,28,2020-07-27,5
real,tr00,real,,NaN,,22,Estado de Mexico,MX,28,2020-07-27,23
real,tr00,real,,NaN,,55,New York,US,28,2020-07-27,23
real,tr00,real,,NaN,,84,Texas,US,29,2020-08-03,170
real,tr00,real,,NaN,,10,California,US,29,2020-08-03,139
real,tr00,real,,NaN,,66,Ontario,CA,29,2020-08-03,4
real,tr00,real,,NaN,,22,Estado de Mexico,MX,29,2020-08-03,22
real,tr00,real,,NaN,,55,New York,US,29,2020-08-03,22
real,tr00,real,,NaN,,84,Texas,US,30,2020-08-10,170
real,tr00,real,,NaN,,10,California,US,30,2020-08-10,147
real,tr00,real,,NaN,,66,Ontario,CA,30,2020-08-10,4
real,tr00,real,,NaN,,22,Estado de Mexico,MX,30,2020-08-10,21
real,tr00,real,,NaN,,55,New York,US,30,2020-08-10,23
real,tr00,real,,NaN,,84,Texas,US,31,2020-08-17,125
real,tr00,real,,NaN,,10,California,US,31,2020-08-17,102
real,tr00,real,,NaN,,66,Ontario,CA,31,2020-08-17,5
real,tr00,real,,NaN,,22,Estado de Mexico,MX,31,2020-08-17,20
real,tr00,real,,NaN,,55,New York,US,31,2020-08-17,21
real,tr00,real,,NaN,,84,Texas,US,32,2020-08-24,105
real,tr00,real,,NaN,,10,California,US,32,2020-08-24,88
real,tr00,real,,NaN,,66,Ontario,CA,32,2020-08-24,6
real,tr00,real,,NaN,,22,Estado de Mexico,MX,32,2020-08-24,21
real,tr00,real,,NaN,,55,New York,US,32,2020-08-24,23
real,tr00,real,,NaN,,84,Texas,US,33,2020-08-31,84
real,tr00,real,,NaN,,10,California,US,33,2020-08-31,76
real,tr00,real,,NaN,,66,Ontario,CA,33,2020-08-31,8
real,tr00,real,,NaN,,22,Estado de Mexico,MX,33,2020-08-31,22
real,tr00,real,,NaN,,55,New York,US,33,2020-08-31,25
real,tr00,real,,NaN,,84,Texas,US,34,2020-09-07,92
real,tr00,real,,NaN,,10,California,US,34,2020-09-07,56
real,tr00,real,,NaN,,66,Ontario,CA,34,2020-09-07,11
real,tr00,real,,NaN,,22,Estado de Mexico,MX,34,2020-09-07,20
real,tr00,real,,NaN,,55,New York,US,34,2020-09-07,25
real,tr00,real,,NaN,,84,Texas,US,35,2020-09-14,163
real,tr00,real,,NaN,,10,California,US,35,2020-09-14,61
real,tr00,real,,NaN,,66,Ontario,CA,35,2020-09-14,19
real,tr00,real,,NaN,,22,Estado de Mexico,MX,35,2020-09-14,19
real,tr00,real,,NaN,,55,New York,US,35,2020-09-14,27
real,tr00,real,,NaN,,84,Texas,US,36,2020-09-21,93
real,tr00,real,,NaN,,10,California,US,36,2020-09-21,58
real,tr00,real,,NaN,,66,Ontario,CA,36,2020-09-21,23
real,tr00,real,,NaN,,22,Estado de Mexico,MX,36,2020-09-21,19
real,tr00,real,,NaN,,55,New York,US,36,2020-09-21,32
real,tr00,real,,NaN,,84,Texas,US,37,2020-09-28,103
real,tr00,real,,NaN,,10,California,US,37,2020-09-28,53
real,tr00,real,,NaN,,66,Ontario,CA,37,2020-09-28,30
real,tr00,real,,NaN,,22,Estado de Mexico,MX,37,2020-09-28,16
real,tr00,real,,NaN,,55,New York,US,37,2020-09-28,46
real,tr00,real,,NaN,,84,Texas,US,38,2020-10-05,92
real,tr00,real,,NaN,,10,California,US,38,2020-10-05,61
real,tr00,real,,NaN,,66,Ontario,CA,38,2020-10-05,37
real,tr00,real,,NaN,,22,Estado de Mexico,MX,38,2020-10-05,15
real,tr00,real,,NaN,,55,New York,US,38,2020-10-05,49
real,tr00,real,,NaN,,84,Texas,US,39,2020-10-12,114
real,tr00,real,,NaN,,10,California,US,39,2020-10-12,55
