dataset,truth_id,nick,strain,beta,seed_loc,loc_row,loc_name,country,week,week_date,truth_100k
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,37,NaT,564
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,37,NaT,600
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,37,NaT,622
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,37,NaT,541
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,37,NaT,53
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,38,NaT,622
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,38,NaT,590
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,38,NaT,606
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,38,NaT,571
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,38,NaT,45
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,39,NaT,541
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,39,NaT,525
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,39,NaT,594
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,39,NaT,585
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,39,NaT,38
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,40,NaT,513
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,40,NaT,531
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,40,NaT,544
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,40,NaT,627
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,40,NaT,36
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,41,NaT,485
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,41,NaT,450
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,41,NaT,513
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,41,NaT,586
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,41,NaT,32
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,42,NaT,434
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,42,NaT,406
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,42,NaT,440
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,42,NaT,591
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,42,NaT,26
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,43,NaT,373
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,43,NaT,331
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,43,NaT,421
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,43,NaT,555
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,43,NaT,23
synth,tr01,tr01_ls_NY,ls,0.8,NY,84,Texas,US,44,NaT,300
synth,tr01,tr01_ls_NY,ls,0.8,NY,10,California,US,44,NaT,275
synth,tr01,tr01_ls_NY,ls,0.8,NY,66,Ontario,CA,44,NaT,316
synth,tr01,tr01_ls_NY,ls,0.8,NY,22,Estado de Mexico,MX,44,NaT,476
synth,tr01,tr01_ls_NY,ls,0.8,NY,55,New York,US,44,NaT,19
