"Aguascalientes","Alabama","Alaska","Alberta","Arizona","Arkansas","Baja California","Baja California Sur","British Columbia","California","Campeche","Chiapas","Chihuahua","Coahuila de Zaragoza","Colima","Colorado","Connecticut","Delaware","District of Columbia","Distrito Federal","Durango","Estado de Mexico","Florida","Georgia","Guanajuato","Guerrero","Hawaii","Hidalgo","Idaho","Illinois","Indiana","Iowa","Jalisco","Kansas","Kentucky","Louisiana","Maine","Manitoba","Maryland","Massachusetts","Michigan","Michoacan de Ocampo","Minnesota","Mississippi","Missouri","Montana","Morelos","Nayarit","Nebraska","Nevada","New Brunswick","New Hampshire","New Jersey","New Mexico","New York","Newfoundland and Labrador","North Carolina","North Dakota","Northwest Territories","Nova Scotia","Nuevo Leon","Nunavut","Oaxaca","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince Edward Island","Puebla","Quebec","Queretaro","Quintana Roo","Rhode Island","San Luis Potosi","Saskatchewan","Sinaloa","Sonora","South Carolina","South Dakota","Tabasco","Tamaulipas","Tennessee","Texas","Tlaxcala","Utah","Veracruz de Ignacio de la Llave","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Yucatan","Yukon","Zacatecas"
0,46500,56,0,530,263,0,0,0,1829,0,0,0,0,0,510,159,38,132,0,0,0,12995,10592967,0,0,10,0,93,1158,402,154,0,240,1104,531,91,0,539,412,557,0,536,708,511,39,0,0,25,217,0,156,537,84,1076,0,6249,0,0,0,0,0,0,737,168,0,185,838,0,0,0,0,0,57,0,0,0,0,24861,12,0,0,10679,2621,0,248,0,49,1088,287,75,257,6,0,0,0
820,0,0,0,0,0,50,30,0,0,0,110,130,180,130,0,0,0,0,610,140,4250,0,0,6078274,260,0,2290,0,0,0,0,16400,0,0,0,0,0,0,0,0,21270,0,0,0,0,140,120,0,0,0,0,0,0,0,0,0,0,0,0,240,0,170,0,0,0,0,0,0,1320,0,5290,0,0,2010,0,60,40,0,0,50,140,0,0,940,0,1100,0,0,0,0,0,0,0,0,830
40,0,0,0,0,0,50,10,0,0,40,190,30,100,60,0,0,0,0,960,140,4410,0,0,230,3497725,0,810,0,0,0,0,250,0,0,0,0,0,0,0,0,5110,0,0,0,0,4160,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3290,0,0,0,0,0,0,3730,0,180,20,0,130,0,60,50,0,0,10,30,0,0,1310,0,1100,0,0,0,0,0,0,50,0,110
0,52,23,0,192,12,0,0,0,1402,0,0,0,0,0,233,17,0,0,0,0,0,170,124,0,0,1452712,0,40,71,24,15,0,28,15,40,17,0,116,39,99,0,11,21,5,0,0,0,0,199,0,7,18,0,96,0,100,18,0,0,0,0,0,77,32,0,59,84,0,0,0,0,0,0,0,0,0,0,0,15,0,0,57,128,0,34,0,0,163,364,0,24,0,0,0,0
10,0,0,0,0,0,30,20,0,0,10,30,0,80,10,0,0,0,0,2040,20,48950,0,0,210,130,0,2921151,0,0,0,0,150,0,0,0,0,0,0,0,0,400,0,0,0,0,290,20,0,0,0,0,0,0,0,0,0,0,0,0,70,0,170,0,0,0,0,0,0,6000,0,1100,0,0,900,0,0,0,0,0,10,100,0,0,5780,0,12460,0,0,0,0,0,0,0,0,30
0,12,10,0,289,0,0,0,7,262,0,0,0,0,0,66,0,0,0,0,0,0,11,0,0,0,0,0,1799858,72,64,16,0,16,12,89,0,0,10,13,38,0,48,0,63,531,0,0,2,158,0,0,6,30,21,0,0,2,0,0,0,0,0,12,12,0,1970,52,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,148,0,973,0,0,18,11470,0,34,314,0,0,0
0,341,0,0,990,417,0,0,0,3116,0,0,0,0,0,1021,429,84,37,0,0,0,4325,1607,0,0,35,0,226,12597343,66738,22200,0,389,2445,404,82,0,477,506,5513,0,1534,349,24953,67,0,0,174,644,0,107,942,87,1244,0,1001,32,0,0,0,0,0,2322,305,0,178,1366,0,0,0,0,0,107,0,0,0,0,343,49,0,0,1186,2803,0,268,0,47,743,672,180,41575,62,0,0,0
0,289,10,0,253,246,0,0,0,460,0,0,0,0,0,185,75,24,34,0,0,0,1442,772,0,0,6,0,118,34843,6619686,343,0,256,25722,181,11,0,177,246,25447,0,313,246,1000,43,0,0,39,121,0,41,143,35,500,0,586,0,0,0,0,0,0,14709,125,0,87,405,0,0,0,0,0,35,0,0,0,0,268,10,0,0,731,1416,0,114,0,0,338,117,172,681,9,0,0,0
0,150,0,0,280,85,0,0,0,481,0,0,0,0,0,178,16,0,8,0,0,0,513,441,0,0,0,0,133,33413,558,3198531,0,586,118,131,42,0,50,89,354,0,4388,122,4427,7,0,0,17152,151,0,17,19,81,222,0,387,77,0,0,0,0,0,404,312,0,122,166,0,0,0,0,0,0,0,0,0,0,166,4117,0,0,278,525,0,109,0,4,191,171,79,4991,20,0,0,0
2660,0,0,0,0,0,170,140,0,0,40,680,170,220,4100,0,0,0,0,740,390,3870,0,0,2970,760,0,1870,0,0,0,0,8282051,0,0,0,0,0,0,0,0,18140,0,0,0,0,240,13900,0,0,0,0,0,0,0,0,0,0,0,0,390,0,640,0,0,0,0,0,0,1900,0,830,110,0,1310,0,480,150,0,0,50,190,0,0,1460,0,1880,0,0,0,0,0,0,150,0,4640
