0,11570,5000,13920,165000,9810,0,0,28580,334170,0,0,0,0,0,191600,16930,0,105830,0,0,0,1055150,286260,0,0,0,0,5930,207710,0,8990,0,5670,0,32360,6430,0,59680,85350,92590,0,91380,5130,51400,6630,0,0,12950,173830,0,5130,80000,8770,179730,0,146800,4460,0,0,0,0,0,10090,16600,21260,30180,92840,0,0,31140,0,31614,8620,0,0,0,0,42950,5100,0,0,25710,283570,0,32130,0,0,58530,51570,0,14650,0,0,0,0
0,4540,0,0,140130,0,0,0,9400,125320,0,0,0,0,0,118160,5460,0,33010,0,0,0,280020,62430,0,0,0,0,0,173980,8990,0,0,0,7960,10130,0,0,11960,16610,39590,0,45720,0,28750,0,0,0,0,132910,0,0,18690,0,40430,0,43050,0,0,0,0,0,0,17770,5630,25280,16620,25580,0,0,0,0,0,0,0,0,0,0,8120,0,0,0,17880,126760,0,14990,0,0,14220,24100,0,0,0,0,0,0
13678,0,0,446012,511368,0,1778488,186540,321182,5248626,0,94433,299423,49976,0,413498,0,0,0,3543209,21467,127380,131238,369496,26716,7660,0,0,0,787866,0,0,0,0,0,0,0,74992,0,0,50098,0,161218,0,0,0,10772,0,0,406054,0,60380,69728,0,107940,0,0,0,0,0,826422,0,22342,0,0,216848,134364,0,0,18846,88666,24342,649131,0,7557,77272,227726,315631,0,0,93284,87365,0,1927568,0,108808,124617,0,0,189332,0,15226,0,120697,0,0
0,0,0,0,61820,0,0,0,0,61510,0,0,0,0,0,43300,0,0,10450,0,0,0,50990,46530,0,0,0,0,0,65160,5670,0,0,0,4890,6590,0,0,6680,7140,8530,0,15860,0,26450,0,0,0,0,62870,0,0,6060,0,15610,0,13810,0,0,0,0,0,0,8260,0,12280,6690,12480,0,0,9620,0,0,0,0,0,0,0,4070,0,0,0,9940,120250,0,5390,0,0,8470,13980,0,4360,0,0,0,0
0,11140,4700,0,121710,11460,0,0,9420,294670,0,0,0,0,0,148450,20330,0,87980,0,0,0,1105880,347260,0,0,0,0,5160,251930,0,7960,0,4890,0,52640,7490,0,102980,66420,88460,0,80100,5100,43840,6970,0,0,10890,195240,0,7290,85000,7590,162520,0,171000,0,0,0,0,0,0,8150,13770,29080,26130,113960,0,0,10180,0,63666,9810,0,0,0,0,52130,4080,0,0,25120,333020,0,54210,0,0,45470,50470,0,30050,0,0,0,0
0,11190,9730,42320,70870,12690,0,0,40760,493210,0,0,0,0,0,175350,16730,0,128890,0,0,0,501650,373800,0,0,0,0,6030,252320,32360,10130,0,6590,52640,0,9510,8280,85440,97490,84680,0,48420,0,92700,6990,0,0,14140,145980,0,5300,96650,14370,280990,0,134230,5500,0,8160,0,0,0,58660,37750,117560,37090,145210,0,0,46100,0,29778,11860,0,0,0,0,30200,0,0,0,97410,926430,0,34820,0,0,73250,78330,0,28950,0,0,0,0
0,0,0,0,12900,0,0,0,0,42570,0,0,0,0,0,16710,0,0,58700,0,0,0,194380,43660,0,0,0,0,0,35000,6430,0,0,0,7490,9510,0,0,55040,0,31860,0,9090,0,12910,0,0,0,0,9020,0,0,42480,0,110540,0,45650,0,0,0,0,0,0,13460,0,0,4050,62530,0,0,0,0,0,0,0,0,0,0,10660,0,0,0,13850,33130,0,4430,0,0,24640,8620,0,7690,0,0,0,0
0,0,0,57030.4582921935,91232,0,0,0,63625.8034140147,165856,0,0,0,0,0,22540,0,0,26540,0,0,0,152852,16320,0,10802,0,0,0,47060,0,0,74992,0,0,8280,0,0,0,25404,9720,0,26660,0,8960,0,0,0,0,133052,14905.2426503176,0,0,0,73516,11101.4455367812,0,0,0,17340.0228512831,0,0,10312,0,0,110981.656532281,10460,11560,5131.32336969876,0,76207.1742958371,0,111564,0,0,20530.1709924276,0,0,0,0,0,0,12340,33158,0,0,0,0,0,10960,0,0,0,0,0,0
0,40240,9330,0,168490,14000,0,0,0,676840,0,0,0,0,0,191450,127240,0,24970,0,0,0,1384200,402940,0,0,0,0,10070,393250,59680,11960,0,6680,102980,85440,55040,0,0,375210,212570,0,124410,6210,150300,10260,0,0,11760,237910,0,139310,10460,47800,364110,0,330070,0,0,0,0,0,0,143250,41700,0,43220,74360,0,0,0,0,376474,155600,0,0,0,0,98810,0,0,0,160680,612600,0,87650,0,0,75000,113930,0,65430,0,0,0,0
0,21100,23100,107484,204280,13890,0,0,169116,1487420,0,0,0,0,0,312700,0,0,488430,123380,0,0,1556640,387100,0,0,0,0,12120,739190,85350,16610,0,7140,66420,97490,0,25404,375210,0,219900,0,179490,6950,141840,20770,0,0,16660,216940,0,0,265450,23900,789720,16692,447880,4470,0,104010,0,0,0,216240,22390,635066,103430,466570,0,0,127840,0,201886,0,0,8148,0,0,111110,5300,0,0,184430,687770,0,98720,0,0,277500,231120,0,85220,8450,0,0,0
